task_type,evaluation,model,n_samples,n_folds,roc_auc,avg_precision,f1,positive_rate,task,mae,mae_rounded
binary,random_cv,majority_baseline,3564,5,0.5,0.1627385473627811,0.0,0.1627385473627811,service,,
binary,random_cv,text_plus_property,3564,5,0.8763663937988173,0.5934986620497028,0.5878234383964481,0.1627385473627811,service,,
binary,random_cv,text_tfidf,3564,5,0.8791476232896333,0.608760608546774,0.5808980008034471,0.1627385473627811,service,,
binary,temporal_holdout_2025+,majority_baseline,3564,1,0.5,0.15245009074410162,0.0,0.15245009074410162,service,,
binary,temporal_holdout_2025+,text_plus_property,3564,1,0.8897981033955339,0.6357691238901276,0.6,0.15245009074410162,service,,
binary,temporal_holdout_2025+,text_tfidf,3564,1,0.9105230957479352,0.6999406490135217,0.6524064171122995,0.15245009074410162,service,,
regression,group_property_cv,mean_baseline,3705,5,,,,,cleanliness,0.8216768339766629,0.8704205050760059
regression,group_property_cv,text_plus_property,3705,5,,,,,cleanliness,0.5994106650737802,0.5608123412194905
regression,group_property_cv,text_tfidf,3705,5,,,,,cleanliness,0.6005366217276239,0.5616239918943564
regression,random_cv,mean_baseline,3705,5,,,,,cleanliness,0.8109985594110889,0.8720647773279353
regression,random_cv,text_plus_property,3705,5,,,,,cleanliness,0.5615493885908565,0.5128205128205129
regression,random_cv,text_tfidf,3705,5,,,,,cleanliness,0.5764075574325265,0.534412955465587
regression,temporal_holdout_2025+,mean_baseline,3705,1,,,,,cleanliness,0.8330739569977832,0.9513590844062947
regression,temporal_holdout_2025+,text_plus_property,3705,1,,,,,cleanliness,0.5220902025861244,0.4864091559370529
regression,temporal_holdout_2025+,text_tfidf,3705,1,,,,,cleanliness,0.5405524647605118,0.48783977110157367
regression,group_property_cv,mean_baseline,1564,5,,,,,ecofriendliness,0.850513594168589,0.8377485275747567
regression,group_property_cv,text_plus_property,1564,5,,,,,ecofriendliness,0.690398383151105,0.6598065202755242
regression,group_property_cv,text_tfidf,1564,5,,,,,ecofriendliness,0.6814650108901763,0.6510703888737298
regression,random_cv,mean_baseline,1564,5,,,,,ecofriendliness,0.8366657276292507,0.8376177603014664
regression,random_cv,text_plus_property,1564,5,,,,,ecofriendliness,0.6466124676160142,0.6074219710002458
regression,random_cv,text_tfidf,1564,5,,,,,ecofriendliness,0.6622951946729662,0.6285532890964202
regression,temporal_holdout_2025+,mean_baseline,1564,1,,,,,ecofriendliness,0.8527997346747002,0.8733624454148472
regression,temporal_holdout_2025+,text_plus_property,1564,1,,,,,ecofriendliness,0.6506330173037731,0.6266375545851528
regression,temporal_holdout_2025+,text_tfidf,1564,1,,,,,ecofriendliness,0.6437971139291907,0.6244541484716157
regression,group_property_cv,mean_baseline,3855,5,,,,,overall,0.9114119707233902,0.9022353783695719
regression,group_property_cv,text_plus_property,3855,5,,,,,overall,0.6036406056826251,0.5666527577447982
regression,group_property_cv,text_tfidf,3855,5,,,,,overall,0.5998986511705586,0.5651379423468132
regression,random_cv,mean_baseline,3855,5,,,,,overall,0.9032842620209575,0.9071335927367056
regression,random_cv,text_plus_property,3855,5,,,,,overall,0.5724389547402928,0.5291828793774319
regression,random_cv,text_tfidf,3855,5,,,,,overall,0.5773432337857383,0.5325551232166019
regression,temporal_holdout_2025+,mean_baseline,3855,1,,,,,overall,0.9289958151418911,0.9504021447721179
regression,temporal_holdout_2025+,text_plus_property,3855,1,,,,,overall,0.5344397248084295,0.4839142091152815
regression,temporal_holdout_2025+,text_tfidf,3855,1,,,,,overall,0.54087873360163,0.47319034852546915
regression,group_property_cv,mean_baseline,3564,5,,,,,service,0.798441029617656,0.8801235782796131
regression,group_property_cv,text_plus_property,3564,5,,,,,service,0.5761511505288891,0.53034130433855
regression,group_property_cv,text_tfidf,3564,5,,,,,service,0.5873493838944743,0.5487429636687751
regression,random_cv,mean_baseline,3564,5,,,,,service,0.7953469128892021,0.8802035236459334
regression,random_cv,text_plus_property,3564,5,,,,,service,0.5707788746997189,0.5336700442819546
regression,random_cv,text_tfidf,3564,5,,,,,service,0.5741899850177672,0.5232862410766346
regression,temporal_holdout_2025+,mean_baseline,3564,1,,,,,service,0.81642766403058,0.956442831215971
regression,temporal_holdout_2025+,text_plus_property,3564,1,,,,,service,0.5404591339017981,0.4954627949183303
regression,temporal_holdout_2025+,text_tfidf,3564,1,,,,,service,0.5307747128920235,0.47005444646098005
